douban_id,title,original_title,year,directors,actors,genres,countries,rating,rating_count,rank,poster_url,summary,main_category,feature_tags
1301912,秋天的童话,,1987,张婉婷,周润发;钟楚红;陈百强;黄淑仪,剧情;爱情,中国香港,8.5,107052,466,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1164872896.webp,留学生李琪（钟楚红 饰）独自一人从香港到纽约读书，满心以为接机的会是自己的男友（陈百强 饰），来到却是一位远方亲戚和一位在唐人街打工的船头尺（周润发 饰）。原来自己的男友已经移情别恋了，令李琪伤心不已，把自己关在房内。船头尺不放心前往询问，闻到煤气味便以为李琪自杀，原来只是煤气泄漏。船头尺鼓励李琪就算一个人也要好好生活读书，李琪得到了他的鼓励及帮助，便开始专心读书和工作。当中船头尺也屡遭不顺，两人互相帮助之余，船头尺也爱上了李琪……,romance_drama,剧情;爱情;张婉婷;中国香港;高分
1302770,阿基拉,,1988,大友克洋,岩田光央;佐佐木望;小山茉美;玄田哲章;大竹宏,动作;科幻;动画,日本,8.5,101880,467,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p711283071.webp,1988年7月，关东地区使用新型炸弹进行爆破，第三次世界大战即刻爆发。31年后，人类从一片废墟中重建都市，东京湾上建立了巨大城市——新东京。世界仿佛要恢复到以前的繁荣。 2019年的一个夜晚，新东京郊外的封闭高速公路上，暴走族团体正在公路上飙车。带头的少年，是一名叫做金 田的职业高中学生。 突然，街上出现了一位奇怪的矮个子男子，暴走族少年铁雄为躲避车祸连人带车飞出公路。正当金田要拿那位男子问罪之时，军队驾驶直升飞机赶到。将那位矮个男子与铁雄一起收押。 铁雄进入了一个陌生的地方，这里似乎在从事超能力的研究。而金田则在盘算如何营救铁雄。二人都不知道，他们的未来，因为神秘力量——阿基拉而已经开始了巨大的变化。,sci_fi_action,动作;科幻;动画;大友克洋;日本;高分
4099231,辉夜姬物语,,2013,高畑勋,朝仓亚纪;高良健吾;地井武男;宫本信子;高畑淳子,动画;奇幻;古装,日本,8.5,99243,468,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2155612579.webp,住在深山老林里的老爷爷（地井武男 配音）一早进山砍竹子，结果竟在附近的一根发光的竹笋中发现了只有掌心大小的娃娃。没有子女的老爷爷兴奋不已，他双手捧着娃娃回到家中，而小家伙竟然在老奶奶（宫本信子 配音）的手中越变越大。之后的岁月里，舐犊情深的爷爷小心呵护他的公主（朝仓亚纪 配音），小女孩则以惊人的速度生长，她与村里的孩子们周游乡间，结识了诚实可靠的舍丸哥哥（高良健吾 饰），而一首莫名的歌曲却令她潸然泪下。老爷爷在山里先后发现金子和美丽布匹，他决心让公主过上贵族的生活，于是举家搬到了京城的豪宅中。公主超凡脱俗，貌美绝伦，从此“辉耀姬”的名字在京城贵族间广为传颂。然而美丽女孩的笑容渐渐退去，这似乎并不是她所向往的生活…… 本片根据日本民间传说《竹取物语》的故事改编。,comedy_animation,动画;奇幻;古装;高畑勋;日本;高分
1296519,喋血双雄,,1989,吴宇森,周润发;李修贤;叶倩文;曾江;朱江,剧情;动作;惊悚;犯罪,中国香港,8.5,95895,469,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2554438688.webp,杀手亚庄（周润发）在一次暗杀行动中误伤了歌星Jennie（叶倩文），令其双目接近失明，自此，深感内疚的他开始暗中保护、帮助 Jennie，并想趁她眼睛完全失明前筹一笔款送她去国外医治，为此，亚庄铤而走险再当杀手，不想任务完成后不但没收到钱，反被雇他杀人的汪海派人追杀。 奉命侦查相关命案的警探李鹰（李修贤）在查案过程中知晓事情另有隐情，亚庄并非冷血杀手，开始同其惺惺相惜，而在应对汪海势力的追杀中，两人更是结成生死之交。然而亚庄的命运，似乎是被注定了。,suspense_crime,剧情;动作;惊悚;犯罪;吴宇森;中国香港;高分
26220731,熊出没之雪岭熊风,,2015,丁亮,张伟;张秉君;谭笑;孟雨田;孙尧东,喜剧;动画;家庭;冒险,中国大陆,8.5,78687,470,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2222373886.webp,终年被白雪覆盖的白熊山，可爱调皮的熊大和熊二出生在这里。伐木工整齐有力的号子响彻森林，当卡车满载原木离去的时候，熊大和熊二则与他们宿命中的敌人——少年光头强相遇。三个小家伙互相追逐的时候，熊二不小心掉入树洞，随后来到一个五彩斑斓的神秘世界。在碧蓝剔透的湖中央，熊二见到了妈妈故事中的大白熊。转眼时间来到了现代，对白熊念念不忘的熊二弄丢了朋友们过冬的口粮，为此遭到哥哥的痛骂。而就在此时，光头强带着三个行踪诡异的外地人来到森林，他们却无意中吵醒正在雪中休息的大白熊。 混乱中，熊二和大白熊再度相逢，而一场意想不到的全新冒险也即将展开……,comedy_animation,喜剧;动画;家庭;冒险;丁亮;中国大陆;高分
1848925,恶童,,2006,迈克尔·艾里亚斯,二宫和也;苍井优;伊势谷友介;宫藤官九郎;大森南朋,动作;动画;犯罪;冒险,日本,8.5,70733,471,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456779198.webp,宝町是一座与时代发展脱节、人口密集的中型工业城市，整日响着轰隆隆机器操作的声音。小黑和小白是被称之为“猫党”的人，可以腾空在城市顶端，可以滑落在纵深空间，小黑会拿着铁棍来狂扁他不喜欢的大人，小白则有着自己天真的想象世界。宝町是一个没有将来的城市，直到一家叫“KIDDY KASTLE”的公司来到这里并想把宝町改造成他们想要的样子时，恶童们知道这是为自己的生活和城市、更是为自己的灵魂而战斗的时候了。 这座城市的没有规则、自由自在、清新空气、游乐设施都是属于宝町独有的！,sci_fi_action,动作;动画;犯罪;冒险;迈克尔·艾里亚斯;日本;高分
26754513,人生密密缝,,2017,荻上直子,生田斗真;桐谷健太;柿原玲佳;美村里江;小池荣子,剧情;同性;家庭,日本,8.5,59104,472,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2385400300.webp,友子（柿园玲佳 饰）和母亲过着相依为命的生活，母亲常常徘徊在不同的男人之间，每天都喝到深夜才回来，友子虽然年幼，却早已经习惯了这样的生活。某日，母亲在丢下了生活费后又不知所踪，无奈之下，友子只能找到舅舅政男（桐谷健太 饰），暂时住在他的家里。 在舅舅家，友子见到了政男的同居“女友”伦子（生田斗真 饰），伦子虽然拥有着柔软的胸脯，却是个货真价实的男人。在友子面前，伦子展现出了无限的温柔和体贴，渐渐让友子找回了缺失的母爱，三个人组成了一个奇异却充满了温暖的家庭。可爱乖巧的友子让伦子渐渐产生了想要将她永远留在身边的念头，可就在此时，友子的母亲回来了。,romance_drama,剧情;同性;家庭;荻上直子;日本;高分
1361254,摇摆少女,,2004,矢口史靖,上野树里;平冈祐太;贯地谷栞;本仮屋唯佳;丰岛由佳梨,剧情;喜剧;音乐,日本,8.5,57069,473,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p638255684.webp,炎热的暑假，女生们还要在学校补课，早就坐不住的她们自动请缨去送午餐给为棒球队打气的管乐队。一路上嘻嘻哈哈的她们快到终点才发现因为天气炎热饭盒早就变坏了，而管乐队队员毫不知情地吃下去，随之而来的身体不适让而唯一没有吃饭盒的中村要求女生们负责，组成爵士乐团。可是女生们不懂得演奏乐器。 艰苦的训练开始了，可是痛苦中也带着甜蜜。,romance_drama,剧情;喜剧;音乐;矢口史靖;日本;高分
1294991,精武门,,1972,罗维,李小龙;苗可秀;田俊;田丰,剧情;动作;爱情;惊悚,中国香港,8.5,50102,474,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2043671205.webp,大侠霍元甲头七之日，日本虹口武道场翻译胡恩（魏平澳 饰）受铃木宽（桥本力 饰）委派，带人上精武馆挑衅。霍元甲五弟子陈真（李小龙 饰）不堪其辱，孤身赴武道场应战，大败数十人。铃木宽大怒，派人打砸精武馆，并限三天交出陈真。为保陈真性命，大师兄（田丰 饰）命令陈真离开上海。当夜，陈真意外发现师父被毒害的线索，盛怒之下手刃凶手（黄宗迅 饰）及其内应（韩英杰 饰），并决定挖出幕后主使……,romance_drama,剧情;动作;爱情;惊悚;罗维;中国香港;高分
1395080,借着雨点说爱你,,2004,土井裕泰,竹内结子;中村狮童;武井证;大塚千弘;浅利阳介,剧情;爱情;奇幻,日本,8.5,44725,475,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1499616217.webp,秋穗巧（中村狮童饰）的妻子槚田泠（竹内结子饰）一年前去世，便和6岁的儿子佑司（武开证饰）过着相依为命的日子。妻子临终前跟他们说，翌年的雨季便会跟着雨点回来看他们。儿子深信母亲会在这个时候回来他们的身边，虽然秋穗巧知道这是一件很荒唐的事，却不忍心向儿子说。 雨季如期而至，父子竟然真的迎来了“重生”的泠，泠虽然失去了所有的记忆，就连自己的身份都不清楚，但她还是像以前一样无微不至的照顾父子俩。可雨不能总是下，雨季也有了结束的一天……,romance_drama,剧情;爱情;奇幻;土井裕泰;日本;高分
